Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
,fa-solid fa-tree,,,,,,,,53.9462407,-1.1186313
,fa-solid fa-tree,,,,,,,,53.9204643,-1.0941241
,fa-solid fa-tree,,,,,,,,53.9524612,-1.0964406
,fa-solid fa-tree,,,,,,,,53.9524612,-1.0964406
,fa-solid fa-tree,,,,,,,,53.952272,-1.0935076
,fa-solid fa-tree,,,,,,,,53.9523125,-1.0936098
,fa-solid fa-tree,,,,,,,,53.9525855,-1.0941855
,fa-solid fa-tree,,,,,,,,53.9512356,-1.0930569
,fa-solid fa-tree,,,,,,,,53.9499475,-1.0992552
,fa-solid fa-tree,,,,,,,,53.9498323,-1.0993643
,fa-solid fa-tree,,,,,,,,53.9497074,-1.0994972
,fa-solid fa-tree,,,,,,,,53.9495659,-1.0995512
,fa-solid fa-tree,,,,,,,,53.9495659,-1.0995512
,fa-solid fa-tree,,,,,,,,53.9493654,-1.0997872
,fa-solid fa-tree,,,,,,,,53.9497007,-1.1021292
,fa-solid fa-tree,,,,,,,,53.9495836,-1.0940532
,fa-solid fa-tree,,,,,,,,53.9486511,-1.1020255
,fa-solid fa-tree,,,,,,,,53.9485706,-1.1025096
,fa-solid fa-tree,,,,,,,,53.9499916,-1.1036373
,fa-solid fa-tree,,,,,,,,53.9499868,-1.1024073
,fa-solid fa-tree,,,,,,,,53.9468388,-1.1043934
,fa-solid fa-tree,,,,,,,,53.9466601,-1.1028678
,fa-solid fa-tree,,,,,,,,53.9469973,-1.1057886
,fa-solid fa-tree,,,,,,,,53.9467423,-1.1034405
,fa-solid fa-tree,,,,,,,,53.9477341,-1.1023123
,fa-solid fa-tree,,,,,,,,53.9476819,-1.1029165
,fa-solid fa-tree,,,,,,,,53.9472983,-1.1031234
,fa-solid fa-tree,,,,,,,,53.9473029,-1.1025435
,fa-solid fa-tree,,,,,,,,53.9477694,-1.1033815
,fa-solid fa-tree,,,,,,,,33.8883487,-118.3089624
,fa-solid fa-tree,,,,,,,,53.9472414,-1.105452
,fa-solid fa-tree,,,,,,,,53.9483046,-1.1054794
,fa-solid fa-tree,,,,,,,,53.9475495,-1.1048664
,fa-solid fa-tree,,,,,,,,53.948008,-1.1046671
,fa-solid fa-tree,,,,,,,,53.9474796,-1.1053894
,fa-solid fa-tree,,,,,,,,53.9482837,-1.1048634
,fa-solid fa-tree,,,,,,,,53.9473056,-1.1049965
,fa-solid fa-tree,,,,,,,,53.9474917,-1.1049548
,fa-solid fa-tree,,,,,,,,53.947575,-1.1039933
,fa-solid fa-tree,,,,,,,,53.9477489,-1.1039007
,fa-solid fa-tree,,,,,,,,53.9480696,-1.1037504
,fa-solid fa-tree,,,,,,,,53.9474299,-1.104519
,fa-solid fa-tree,,,,,,,,53.9475841,-1.1044612
,fa-solid fa-tree,,,,,,,,53.9496534,-1.0971406
,fa-solid fa-tree,,,,,,,,53.9499417,-1.0965523
,fa-solid fa-tree,,,,,,,,53.949378,-1.0972272
,fa-solid fa-tree,,,,,,,,53.9431613,-1.1091733
,fa-solid fa-tree,,,,,,,,53.9431763,-1.1089692
,fa-solid fa-tree,,,,,,,,53.9432032,-1.1096505
,fa-solid fa-tree,,,,,,,,53.9429595,-1.110129
,fa-solid fa-tree,,,,,,,,53.9437619,-1.1087352
,fa-solid fa-tree,,,,,,,,53.9510618,-1.1003962
,fa-solid fa-tree,,,,,,,,53.9511463,-1.1004507
,fa-solid fa-tree,,,,,,,,53.9507306,-1.0990395
,fa-solid fa-tree,,,,,,,,53.9506445,-1.0996222
,fa-solid fa-tree,,,,,,,,53.944882,-1.1088999
,fa-solid fa-tree,,,,,,,,53.9449958,-1.1088167
,fa-solid fa-tree,,,,,,,,53.9455056,-1.1075806
,fa-solid fa-tree,,,,,,,,53.9462966,-1.1078024
,fa-solid fa-tree,,,,,,,,53.9473436,-1.1014723
,fa-solid fa-tree,,,,,,,,53.9422693,-1.1093904
,fa-solid fa-tree,,,,,,,,53.9423451,-1.1102558
,fa-solid fa-tree,,,,,,,,53.9446155,-1.1053495
,fa-solid fa-tree,,,,,,,,53.9445696,-1.1040678
,fa-solid fa-tree,,,,,,,,53.944841,-1.1065673
,fa-solid fa-tree,,,,,,,,53.9445989,-1.1065256
,fa-solid fa-tree,,,,,,,,53.9441655,-1.1064558
,fa-solid fa-tree,,,,,,,,53.9437859,-1.1069849
,fa-solid fa-tree,,,,,,,,-,-
,fa-solid fa-tree,,,,,,,,53.9441148,-1.103818
,fa-solid fa-tree,,,,,,,,53.9441148,-1.103818
,fa-solid fa-tree,,,,,,,,53.9426969,-1.104951
,fa-solid fa-tree,,,,,,,,53.9419422,-1.1066179
,fa-solid fa-tree,,,,,,,,53.9418673,-1.1066099
,fa-solid fa-tree,,,,,,,,53.9418354,-1.1071321
,fa-solid fa-tree,,,,,,,,53.941487,-1.1073139
,fa-solid fa-tree,,,,,,,,53.9415037,-1.108713
,fa-solid fa-tree,,,,,,,,53.9411845,-1.1068003
,fa-solid fa-tree,,,,,,,,53.9417109,-1.1105904
,fa-solid fa-tree,,,,,,,,53.9423748,-1.1057293
,fa-solid fa-tree,,,,,,,,53.9424212,-1.1058411
,fa-solid fa-tree,,,,,,,,53.9405705,-1.1091578
,fa-solid fa-tree,,,,,,,,53.9405392,-1.1088333
,fa-solid fa-tree,,,,,,,,53.9409559,-1.1072745
,fa-solid fa-tree,,,,,,,,53.9367263,-1.1077753
,fa-solid fa-tree,,,,,,,,53.9366432,-1.1074088
,fa-solid fa-tree,,,,,,,,53.9367368,-1.1053485
,fa-solid fa-tree,,,,,,,,53.9365522,-1.1051024
,fa-solid fa-tree,,,,,,,,53.936353,-1.1050119
,fa-solid fa-tree,,,,,,,,53.9361616,-1.1051323
,fa-solid fa-tree,,,,,,,,53.9359852,-1.1052098
,fa-solid fa-tree,,,,,,,,53.9368713,-1.1044049
,fa-solid fa-tree,,,,,,,,53.9372731,-1.1081249
,fa-solid fa-tree,,,,,,,,53.9366152,-1.1064961
,fa-solid fa-tree,,,,,,,,53.9355399,-1.1065111
,fa-solid fa-tree,,,,,,,,53.9354616,-1.1042023
,fa-solid fa-tree,,,,,,,,53.9353773,-1.1039126
,fa-solid fa-tree,,,,,,,,53.9347038,-1.1024592
,fa-solid fa-tree,,,,,,,,53.9361151,-1.1092234
,fa-solid fa-tree,,,,,,,,53.9361095,-1.1082797
,fa-solid fa-tree,,,,,,,,53.9359354,-1.1065914
,fa-solid fa-tree,,,,,,,,53.9358806,-1.1064228
,fa-solid fa-tree,,,,,,,,53.9326112,-1.1027538
,fa-solid fa-tree,,,,,,,,53.9342159,-1.1022811
,fa-solid fa-tree,,,,,,,,53.9336475,-1.1022407
,fa-solid fa-tree,,,,,,,,53.9329434,-1.1024764
,fa-solid fa-tree,,,,,,,,53.9331806,-1.1028466
,fa-solid fa-tree,,,,,,,,53.9341641,-1.103023
,fa-solid fa-tree,,,,,,,,53.9343257,-1.1043827
,fa-solid fa-tree,,,,,,,,53.9348968,-1.1033745
,fa-solid fa-tree,,,,,,,,53.9315833,-1.1011168
,fa-solid fa-tree,,,,,,,,53.9332278,-1.1037277
,fa-solid fa-tree,,,,,,,,53.9331437,-1.1043219
,fa-solid fa-tree,,,,,,,,53.9392743,-1.1093821
,fa-solid fa-tree,,,,,,,,53.9389744,-1.1091375
,fa-solid fa-tree,,,,,,,,53.9387614,-1.1082073
,fa-solid fa-tree,,,,,,,,53.9386341,-1.1098692
,fa-solid fa-tree,,,,,,,,53.9379052,-1.1100661
,fa-solid fa-tree,,,,,,,,53.9379052,-1.1100661
,fa-solid fa-tree,,,,,,,,53.9379052,-1.1100661
,fa-solid fa-tree,,,,,,,,53.9356107,-1.1110726
,fa-solid fa-tree,,,,,,,,53.9372279,-1.112228
,fa-solid fa-tree,,,,,,,,53.9368109,-1.1100684
,fa-solid fa-tree,,,,,,,,53.9361677,-1.1116261
,fa-solid fa-tree,,,,,,,,53.934365,-1.1104802
,fa-solid fa-tree,,,,,,,,53.9342699,-1.1099379
,fa-solid fa-tree,,,,,,,,53.934157,-1.1093637
,fa-solid fa-tree,,,,,,,,53.9340455,-1.1088119
,fa-solid fa-tree,,,,,,,,53.9341601,-1.1087597
,fa-solid fa-tree,,,,,,,,53.934408,-1.1106667
,fa-solid fa-tree,,,,,,,,53.9348985,-1.1083758
,fa-solid fa-tree,,,,,,,,53.9345218,-1.1079173
,fa-solid fa-tree,,,,,,,,53.9357555,-1.1080248
,fa-solid fa-tree,,,,,,,,53.9357023,-1.1073349
,fa-solid fa-tree,,,,,,,,53.9336331,-1.1069123
,fa-solid fa-tree,,,,,,,,53.9335913,-1.1066059
,fa-solid fa-tree,,,,,,,,53.9328654,-1.1054585
,fa-solid fa-tree,,,,,,,,53.9328196,-1.1053748
,fa-solid fa-tree,,,,,,,,53.9325336,-1.104929
,fa-solid fa-tree,,,,,,,,53.9339219,-1.1080428
,fa-solid fa-tree,,,,,,,,53.9336135,-1.1057269
,fa-solid fa-tree,,,,,,,,53.9335291,-1.1056724
,fa-solid fa-tree,,,,,,,,53.9331279,-1.1051585
,fa-solid fa-tree,,,,,,,,53.9329715,-1.1048768
,fa-solid fa-tree,,,,,,,,53.9340812,-1.1058
,fa-solid fa-tree,,,,,,,,53.9344066,-1.1067017
,fa-solid fa-tree,,,,,,,,53.9349779,-1.1069453
,fa-solid fa-tree,,,,,,,,53.9341999,-1.1068077
,fa-solid fa-tree,,,,,,,,53.9343212,-1.1067493
,fa-solid fa-tree,,,,,,,,53.9347508,-1.114599
,fa-solid fa-tree,,,,,,,,53.9399844,-1.1059794
,fa-solid fa-tree,,,,,,,,-,-
,fa-solid fa-tree,,,,,,,,53.9353227,-1.1103836
,fa-solid fa-tree,,,,,,,,53.9353227,-1.1103836
,fa-solid fa-tree,,,,,,,,53.9316077,-1.1140359
,fa-solid fa-tree,,,,,,,,53.9342821,-1.1114101
,fa-solid fa-tree,,,,,,,,53.9347707,-1.1118414
,fa-solid fa-tree,,,,,,,,53.9353631,-1.1118669
,fa-solid fa-tree,,,,,,,,53.9341942,-1.1138988
,fa-solid fa-tree,,,,,,,,53.9325339,-1.1099301
,fa-solid fa-tree,,,,,,,,53.9327088,-1.1097797
,fa-solid fa-tree,,,,,,,,53.9327879,-1.1096275
,fa-solid fa-tree,,,,,,,,53.9326818,-1.1078843
,fa-solid fa-tree,,,,,,,,53.9320768,-1.1069512
,fa-solid fa-tree,,,,,,,,53.9324577,-1.1073779
,fa-solid fa-tree,,,,,,,,53.9331919,-1.1085042
,fa-solid fa-tree,,,,,,,,53.933149,-1.1089548
,fa-solid fa-tree,,,,,,,,53.9318156,-1.1062251
,fa-solid fa-tree,,,,,,,,53.9321417,-1.1061439
,fa-solid fa-tree,,,,,,,,53.9320445,-1.1058211
,fa-solid fa-tree,,,,,,,,53.9322762,-1.1058576
,fa-solid fa-tree,,,,,,,,53.9317486,-1.1083781
,fa-solid fa-tree,,,,,,,,53.9315749,-1.1123213
,fa-solid fa-tree,,,,,,,,53.9316868,-1.1129352
,fa-solid fa-tree,,,,,,,,53.9316868,-1.1129352
,fa-solid fa-tree,,,,,,,,53.9316868,-1.1129352
,fa-solid fa-tree,,,,,,,,53.9304244,-1.1131311
,fa-solid fa-tree,,,,,,,,53.9423744,-1.1175846
,fa-solid fa-tree,,,,,,,,53.9419314,-1.112981
,fa-solid fa-tree,,,,,,,,53.9415552,-1.1130391
,fa-solid fa-tree,,,,,,,,53.9415556,-1.1130836
,fa-solid fa-tree,,,,,,,,53.9412227,-1.113396
,fa-solid fa-tree,,,,,,,,53.9419375,-1.1130547
,fa-solid fa-tree,,,,,,,,53.9417304,-1.1128962
,fa-solid fa-tree,,,,,,,,53.940955,-1.115222
,fa-solid fa-tree,,,,,,,,53.940966,-1.1135898
,fa-solid fa-tree,,,,,,,,53.9397666,-1.1129313
,fa-solid fa-tree,,,,,,,,53.9426307,-1.1116014
,fa-solid fa-tree,,,,,,,,53.9431157,-1.1119042
,fa-solid fa-tree,,,,,,,,53.9420869,-1.1145644
,fa-solid fa-tree,,,,,,,,53.9431731,-1.1160658
,fa-solid fa-tree,,,,,,,,53.9411197,-1.1161508
,fa-solid fa-tree,,,,,,,,53.9335509,-1.1201395
,fa-solid fa-tree,,,,,,,,53.9336382,-1.1292758
,fa-solid fa-tree,,,,,,,,53.933516,-1.1297899
,fa-solid fa-tree,,,,,,,,53.9343812,-1.1294896
,fa-solid fa-tree,,,,,,,,53.9352213,-1.1317487
,fa-solid fa-tree,,,,,,,,53.9355697,-1.1326924
,fa-solid fa-tree,,,,,,,,53.9360239,-1.1290372
,fa-solid fa-tree,,,,,,,,53.9343651,-1.1247075
,fa-solid fa-tree,,,,,,,,53.941295,-1.125196
,fa-solid fa-tree,,,,,,,,53.9389076,-1.1276128
,fa-solid fa-tree,,,,,,,,53.9395469,-1.1306279
,fa-solid fa-tree,,,,,,,,53.940728,-1.1203108
,fa-solid fa-tree,,,,,,,,53.9380521,-1.118554
,fa-solid fa-tree,,,,,,,,53.9373976,-1.1182298
,fa-solid fa-tree,,,,,,,,53.9411495,-1.1226365
,fa-solid fa-tree,,,,,,,,53.933052,-1.1313246
,fa-solid fa-tree,,,,,,,,53.9333259,-1.1307155
,fa-solid fa-tree,,,,,,,,53.9333746,-1.1323586
,fa-solid fa-tree,,,,,,,,53.9336816,-1.1327433
,fa-solid fa-tree,,,,,,,,53.9345659,-1.1380785
,fa-solid fa-tree,,,,,,,,53.9341401,-1.1381789
,fa-solid fa-tree,,,,,,,,53.9348665,-1.1334682
,fa-solid fa-tree,,,,,,,,53.9350072,-1.1334719
,fa-solid fa-tree,,,,,,,,53.9352566,-1.1347715
,fa-solid fa-tree,,,,,,,,53.9334041,-1.1340699
,fa-solid fa-tree,,,,,,,,53.9339706,-1.1352041
,fa-solid fa-tree,,,,,,,,53.934362,-1.1342604
,fa-solid fa-tree,,,,,,,,53.9361965,-1.1349713
,fa-solid fa-tree,,,,,,,,53.9341268,-1.1368273
,fa-solid fa-tree,,,,,,,,53.9337981,-1.1372831
,fa-solid fa-tree,,,,,,,,53.9341214,-1.1374026
,fa-solid fa-tree,,,,,,,,53.937066,-1.1375293
,fa-solid fa-tree,,,,,,,,53.9377146,-1.1366113
,fa-solid fa-tree,,,,,,,,53.9358969,-1.1303883
,fa-solid fa-tree,,,,,,,,53.9380043,-1.1385765
,fa-solid fa-tree,,,,,,,,53.9375369,-1.1382044
,fa-solid fa-tree,,,,,,,,53.9391038,-1.1362644
,fa-solid fa-tree,,,,,,,,53.9343001,-1.1402669
,fa-solid fa-tree,,,,,,,,53.9335179,-1.1400501
,fa-solid fa-tree,,,,,,,,53.9521289,-1.1345569
,fa-solid fa-tree,,,,,,,,53.941013,-1.1359242
,fa-solid fa-tree,,,,,,,,53.9528248,-1.0963732
,fa-solid fa-tree,,,,,,,,53.9534587,-1.0973376
,fa-solid fa-tree,,,,,,,,53.9529592,-1.0963427
,fa-solid fa-tree,,,,,,,,53.9531224,-1.0966568
,fa-solid fa-tree,,,,,,,,53.9535299,-1.0980064
,fa-solid fa-tree,,,,,,,,53.9544372,-1.1035947
,fa-solid fa-tree,,,,,,,,-,-
,fa-solid fa-tree,,,,,,,,53.94959,-1.1179608
,fa-solid fa-tree,,,,,,,,53.9638777,-1.1227538